Date,Month,Product,Product Family,Quarter,Region EN,Select level,Territory EN,Year,Arrow up and down,CY Patients,"CY to PY, %","CY to PY, % negative (for tooltip)","CY to PY, % positive (for tooltip)",Diagnosed Patients,Number of Records,PY Patients
01/02/2019,2,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
05/02/2019,2,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,2,1,2
14/02/2019,2,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
21/02/2019,2,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,2,1,2
04/03/2019,3,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
05/03/2019,3,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
12/03/2019,3,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
19/03/2019,3,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
09/04/2019,4,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
18/04/2019,4,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
22/04/2019,4,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
23/04/2019,4,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
24/04/2019,4,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
12/05/2019,5,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
13/05/2019,5,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
04/06/2019,6,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
18/06/2019,6,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
19/06/2019,6,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
